Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag
0.00015547,-2,8.47712,2.3463361263,2.5808031559,2.345,1.963,4.178,4.509,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.755,0.2448,2.865E-05,7.825E-06,7.109E-05,-1,0.0001636,-0.139,0.516,1.037,1.158,1.215,1.292,1.468,1.521,1.563
0.00015547,-2,8.47712,2.3942446709,2.5821812153,2.393,2.011,4.1811,4.482,1,0,0.538,0,0,0,0,0,-1,-1E-30,0,0.7512,0.2486,2.9E-05,7.918E-06,7.192E-05,-1,0.0001637,-0.259,0.405,0.933,1.056,1.113,1.192,1.37,1.424,1.466
0.00015547,-2,8.47712,2.4000000954,2.5823426247,2.399,2.017,4.1814,4.479,1,0,0.538,0,0,0,0,0,-1,-1E-30,0,0.7507,0.2491,2.904E-05,7.93E-06,7.202E-05,-1,0.0001636,-0.273,0.391,0.92,1.043,1.101,1.18,1.358,1.412,1.454
0.00015547,-2,8.47712,2.4064273834,2.582521677,2.405,2.024,4.1817,4.475,1,0,0.538,0,0,0,0,0,-1,-1E-30,0,0.7507,0.2491,2.904E-05,7.93E-06,7.202E-05,-1,0.0001636,-0.289,0.376,0.906,1.029,1.087,1.166,1.344,1.398,1.44
0.00015547,-2,8.47712,2.4486627579,2.5836715698,2.448,2.066,4.1832,4.445,1,0,0.538,0,0,0,0,0,-1,-1E-30,0,0.7507,0.2491,2.904E-05,7.93E-06,7.202E-05,-1,0.0001636,-0.396,0.273,0.806,0.931,0.989,1.069,1.248,1.302,1.345
0.00015547,-2,8.47712,2.4872879982,2.5846838951,2.487,2.106,4.1839,4.416,1,0,0.538,0,0,0,0,0,-1,-1E-30,0,0.7507,0.2491,2.904E-05,7.93E-06,7.202E-05,-1,0.0001636,-0.494,0.176,0.712,0.838,0.896,0.975,1.155,1.209,1.252
0.00015547,-2,8.47712,2.5361075401,2.5859129429,2.536,2.156,4.1836,4.372,1,0,0.538,0,0,0,0,0,-1,-1E-30,0,0.7507,0.2491,2.904E-05,7.93E-06,7.202E-05,-1,0.0001636,-0.621,0.045,0.581,0.708,0.766,0.845,1.025,1.079,1.122
0.00015547,-2,8.47712,2.5761470795,2.5868809223,2.576,2.199,4.182,4.329,1,0,0.538,0,0,0,0,0,-1,-1E-30,0,0.7507,0.2491,2.904E-05,7.93E-06,7.202E-05,-1,0.0001636,-0.729,-0.07,0.464,0.591,0.649,0.727,0.906,0.959,1.002
0.00015547,-2,8.47712,2.5999999046,2.5874414444,2.6,2.225,4.1805,4.301,1,0,0.538,0,0,0,0,0,-1,-1E-30,0,0.7507,0.2491,2.904E-05,7.93E-06,7.202E-05,-1,0.0001636,-0.794,-0.142,0.39,0.518,0.574,0.652,0.83,0.883,0.925
0.00015547,-2,8.47712,2.6123225689,2.5877263546,2.612,2.239,4.1797,4.287,1,0,0.538,0,0,0,0,0,-1,-1E-30,0,0.7507,0.2491,2.904E-05,7.93E-06,7.202E-05,-1,0.0001637,-0.827,-0.178,0.353,0.48,0.536,0.614,0.791,0.844,0.886
